'Old Name', 'New Name'
'First name', 'FirstName'
'Last name', 'LastName'
'E-mail address', 'Email'
'Phone number', 'PhoneNumber'
'What is your age?', 'Age'
'Gender', 'Gender'
'Country of origin', 'Country'
'To which university in Groningen will you be going?', 'University'
'Faculty/School', 'Faculty'
'To what extent are you interested in the following interests? [Gaming]', 'Gaming'
'To what extent are you interested in the following interests? [Partying]', 'Partying'
'To what extent are you interested in the following interests? [Sports]', 'Sports'
'To what extent are you interested in the following interests? [Music]', 'Music'
'To what extent are you interested in the following interests? [Board games]', 'BoardGames'
'To what extent are you interested in the following interests? [Arts]', 'Arts'
'To what extent are you interested in the following interests? [Cooking]', 'Cooking'
'To what extent are you interested in the following interests? [Nature]', 'Nature'
'When will you arrive in Groningen (approximately)?', 'Arrival'
'How often would you want to meet your buddy?', 'MeetFrequency'
'What do you expect from the Buddy Programme?', 'Expectations'
'Do you have a preference for the gender of your buddy?', 'GenderPreference'
'Is there something in particular that you would like us to take into account when matching you to someone?', 'Preferences'
'Do you have any further questions or remarks regarding the Buddy Programme?', 'Remarks'
